rank,release_date,title,production_budget,worlwide_gross,domestic_gross
5293,08/02/15,The Birth of a Nation,110000,11000000,10000000
5140,05/09/16,Intolerance,385907,0,0
5230,12/24/1916,20000 Leagues Under the Sea,200000,8000000,8000000
5299,9/17/1920,Over the Hill to the Poorhouse,100000,3000000,3000000
5222,01/01/25,The Big Parade,245000,22000000,11000000
4250,12/30/1925,Ben-Hur,3900000,9000000,9000000
4630,12/08/27,Wings,2000000,0,0
5141,01/02/29,The Broadway Melody,379000,4358000,2800000
4240,01/01/30,Hell's Angels,4000000,0,0
5043,12/31/1931,Mata Hari,558000,900000,900000
5017,07/04/33,King Kong,672000,10000650,10000000
5234,09/02/33,She Done Him Wrong,200000,2000000,2000000
5120,09/03/33,42nd Street,439000,2281000,1438000
5154,01/01/34,It Happened One Night,325000,2500000,2500000
5025,06/09/35,Top Hat,609000,3202000,1782000
4738,05/02/36,Modern Times,1500000,165049,163245
4768,6/26/1936,San Francisco,1300000,5273000,2868000
4814,10/20/1936,Charge of the Light Brigade The,1200000,0,0
4756,12/21/1937,Snow White and the Seven Dwarfs,1488000,184925485,184925485
4570,01/01/38,Alexander's Ragtime Band,2000000,4000000,4000000
4693,01/01/38,You Can't Take It With You,1644000,4000000,4000000
4712,01/01/39,Mr. Smith Goes To Washington,1500000,9000000,9000000
4447,8/25/1939,The Wizard of Oz,2777000,33754967,33711566
4248,12/15/1939,Gone with the Wind,3900000,390525192,198680470
4556,01/01/40,Boom Town,2000000,9172000,9172000
4783,01/01/40,Rebecca,1288000,6000000,6000000
4524,11/13/1940,Fantasia,2280000,83320000,83320000
4789,10/28/1941,How Green Was My Valley,1250000,0,0
4969,8/13/1942,Bambi,858000,268000000,102797000
5283,11/16/1942,Cat People,134000,8000000,4000000
4839,1/23/1943,Casablanca,1039000,10462500,10462500
4457,12/24/1943,A Guy Named Joe,2627000,5363000,5363000
4515,01/01/44,Bathing Beauty,2361000,3500000,3500000
3949,01/08/44,Wilson,5200000,2000000,2000000
4530,01/01/45,The Valley of Decision,2160000,9132000,9132000
4785,01/01/45,The Lost Weekend,1250000,11000000,11000000
4716,10/31/1945,Spellbound,1500000,7000000,7000000
4327,01/01/46,It's a Wonderful Life,3180000,9576159,6600000
4545,01/01/46,Notorious,2000000,24464742,24464742
4533,11/21/1946,The Best Years of Our Lives,2100000,23600000,23600000
3845,12/31/1946,Duel in the Sun,6000000,20400000,20400000
4557,01/01/47,Gentleman's Agreement,2000000,7800000,7800000
4260,01/01/48,The Pirate,3700000,2956000,2956000
4361,01/01/48,Red River,3000000,9012000,9012000
4695,01/01/49,She Wore a Yellow Ribbon,1600000,5400000,5400000
4857,01/01/49,Sands of Iwo Jima,1000000,7800000,7800000
4434,2/15/1950,Cinderella,2900000,263591415,85000000
4255,5/17/1950,Annie Get Your Gun,3768785,8000000,8000000
3593,2/23/1951,Quo Vadis?,8250000,30022000,30000000
4797,03/07/51,Strangers on a Train,1200000,7000000,7000000
4419,7/28/1951,Alice in Wonderland,3000000,0,0
4666,9/18/1951,A Streetcar Named Desire,1800000,8000000,8000000
4517,9/24/1951,Show Boat,2300000,11000000,11000000
5009,01/01/52,High Noon,730000,8000000,8000000
4166,10/01/52,The Greatest Show on Earth,4000000,36000000,36000000
4468,10/04/52,Singin' in the Rain,2540000,7200000,7200000
4788,1/21/1953,Niagara,1250000,2500000,2500000
4162,05/02/53,Peter Pan,4000000,87400000,87400000
4692,05/08/53,From Here to Eternity,1650000,30500000,30500000
5227,6/13/1953,The Beast from 20000 Fathoms,210000,5000000,5000000
3969,9/16/1953,The Robe,5000000,36000000,36000000
5018,10/04/53,House of Wax,658000,23800000,23800000
3999,01/01/54,The Egyptian,5000000,15000000,15000000
4959,7/28/1954,On the Waterfront,910000,9600000,9600000
3973,12/23/1954,20000 Leagues Under the Sea,5000000,28200000,28200000
4798,03/10/55,The Trouble With Harry,1200000,7000000,7000000
4705,12/31/1955,The King’s Thief,1577000,0,0
3853,01/01/56,War and Peace,6000000,12500000,12500000
4119,01/01/56,Moby Dick,4500000,10400000,10400000
4177,01/01/56,Trapeze,4000000,14400000,14400000
4856,01/01/56,Love Me Tender,1000000,9000000,9000000
4310,2/16/1956,Carousel,3380000,3220,0
3020,05/10/56,The Ten Commandments,13500000,80000000,80000000
3835,10/17/1956,Around the World in 80 Days,6000000,42000000,42000000
5067,11/19/1956,Shichinin no samurai,500000,271736,271736
4455,12/01/56,Diane,2660000,0,0
